City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pervomayskoye,RU,2020-10-31 17:11:13,43.92,46.71,56.97,94,99,7.58
1,Trojan,PL,2020-10-31 17:11:13,53.79,20.24,44.01,93,75,1.12
2,Ternate,ID,2020-10-31 17:10:47,0.8,127.4,82.02,77,10,8.61
3,Kulhudhuffushi,MV,2020-10-31 17:11:13,6.62,73.07,83.8,68,99,5.7
4,Rikitea,PF,2020-10-31 17:11:13,-23.12,-134.97,74.95,71,7,7.65
5,Port Alfred,ZA,2020-10-31 17:11:09,-33.59,26.89,65.26,74,85,15.32
6,Ribeira Grande,PT,2020-10-31 17:11:13,38.52,-28.7,69.8,94,75,18.34
7,Tuktoyaktuk,CA,2020-10-31 17:11:13,69.45,-133.04,-4.0,83,40,4.7
8,Ushuaia,AR,2020-10-31 17:08:27,-54.8,-68.3,55.4,54,75,5.55
9,Felanitx,ES,2020-10-31 17:11:13,39.47,3.15,69.8,73,0,6.93
10,Lompoc,US,2020-10-31 17:08:17,34.64,-120.46,53.6,81,1,4.7
11,Talnakh,RU,2020-10-31 17:11:14,69.49,88.4,19.4,85,90,38.03
12,Hansi,IN,2020-10-31 17:11:14,29.1,75.97,68.56,21,0,5.23
13,Albany,US,2020-10-31 17:10:14,42.6,-73.97,39.99,73,0,3.27
14,Cape Town,ZA,2020-10-31 17:09:02,-33.93,18.42,68.0,52,0,20.8
15,Alirajpur,IN,2020-10-31 17:11:14,22.3,74.35,73.94,36,0,3.53
16,Ilulissat,GL,2020-10-31 17:11:14,69.22,-51.1,17.6,67,75,6.93
17,San Patricio,US,2020-10-31 17:11:14,28.02,-97.52,73.4,60,1,5.82
18,Aklavik,CA,2020-10-31 17:11:14,68.22,-135.01,-4.0,83,75,3.36
19,Qaanaaq,GL,2020-10-31 17:11:14,77.48,-69.36,10.83,86,95,7.18
20,Aksehir,TR,2020-10-31 17:11:14,38.36,31.42,52.02,63,36,3.44
21,Praya,CV,2020-10-31 17:11:15,14.92,-23.51,84.2,66,75,25.28
22,Ponta Do Sol,PT,2020-10-31 17:11:15,32.67,-17.1,78.01,83,20,10.29
23,Shenjiamen,CN,2020-10-31 17:11:15,29.96,122.3,65.28,79,6,4.92
24,Tessalit,ML,2020-10-31 17:11:15,20.2,1.01,89.2,12,24,8.39
25,Sakaraha,MG,2020-10-31 17:11:15,-22.9,44.53,75.79,65,5,8.93
26,Lagoa,PT,2020-10-31 17:11:15,39.05,-27.98,68.65,92,81,25.88
27,Georgetown,MY,2020-10-31 17:11:04,5.41,100.34,78.8,88,40,11.41
28,Santa Cruz,BO,2020-10-31 17:08:01,-17.8,-63.17,86.0,27,75,21.92
29,Rawson,AR,2020-10-31 17:11:15,-43.3,-65.1,74.84,22,0,10.47
30,Aleksandrovsk-Sakhalinskiy,RU,2020-10-31 17:11:15,50.9,142.16,37.31,80,100,7.81
31,Jamestown,US,2020-10-31 17:07:02,42.1,-79.24,41.0,69,90,10.29
32,Arraial Do Cabo,BR,2020-10-31 17:11:16,-22.97,-42.03,69.8,94,90,13.87
33,Bredasdorp,ZA,2020-10-31 17:11:16,-34.53,20.04,60.8,59,0,9.17
34,Chokurdakh,RU,2020-10-31 17:11:16,70.63,147.92,-1.08,94,97,7.4
35,Maracacume,BR,2020-10-31 17:11:16,-2.04,-45.96,99.1,30,44,5.86
36,Aksu,CN,2020-10-31 17:11:16,41.12,80.26,44.19,56,0,4.76
37,Nemuro,JP,2020-10-31 17:11:16,43.32,145.57,47.21,68,55,7.49
38,Punta Arenas,CL,2020-10-31 17:07:08,-53.15,-70.92,53.6,66,0,3.36
39,Margate,GB,2020-10-31 17:10:38,51.38,1.39,55.0,82,74,4.0
40,Merauke,ID,2020-10-31 17:10:55,-8.47,140.33,77.23,84,3,13.85
